strain,phage,interaction
ECOR12,BCH953_P2,1
ECOR25,BCH953_P2,1
NILS13,BCH953_P2,1
NILS10,BCH953_P2,1
NILS07,BCH953_P2,1
NILS14,BCH953_P2,0
ECOR13,BCH953_P2,0
NILS11,BCH953_P2,0
ECOR14,BCH953_P2,0
NILS08,BCH953_P2,0
ECOR21,BCH953_P2,0
ECOR20,BCH953_P2,0
ECOR18,BCH953_P2,1
ECOR19,BCH953_P2,1
NILS17,BCH953_P2,0
NILS12,BCH953_P2,0
ECOR23,BCH953_P2,1
NILS41,BCH953_P2,0
BL21,BCH953_P2,0
ECOR17,BCH953_P2,0
NILS03,BCH953_P2,0
ECOR22,BCH953_P2,0
ECOR16,BCH953_P2,1
NILS04,BCH953_P2,0
ECOR15,BCH953_P2,0
NILS43,BCH953_P2,1
NILS37,BCH953_P2,0
ECOR24,BCH953_P2,0
ROAR274,BCH953_P2,0
ECOR42,BCH953_P2,0
ROAR036,BCH953_P2,0
NILS05,BCH953_P2,0
ROAR387,BCH953_P2,1
B6A1,BCH953_P2,1
ECOR31,BCH953_P2,0
LMR3158,BCH953_P2,0
ROAR131,BCH953_P2,1
ROAR059,BCH953_P2,0
EDL933,BCH953_P2,0
ECOR37,BCH953_P2,0
ROAR029,BCH953_P2,1
ROAR012,BCH953_P2,1
NILS45,BCH953_P2,1
TW10509,BCH953_P2,1
NILS31,BCH953_P2,0
370D,BCH953_P2,0
M863,BCH953_P2,0
B49,BCH953_P2,0
ECOR54,BCH953_P4,0
ECOR52,BCH953_P4,0
ECOR51,BCH953_P4,1
ECOR55,BCH953_P4,1
ECOR57,BCH953_P4,0
NILS59,BCH953_P4,0
NILS71,BCH953_P4,0
ECOR56,BCH953_P4,1
NILS74,BCH953_P4,0
NILS79,BCH953_P4,0
NILS72,BCH953_P4,0
NILS29,BCH953_P4,0
NILS65,BCH953_P4,0
536,BCH953_P4,0
NILS81,BCH953_P4,0
NILS82,BCH953_P4,1
NILS78,BCH953_P4,0
NILS57,BCH953_P4,1
AL505,BCH953_P4,0
NILS67,BCH953_P4,1
ECOR61,BCH953_P4,1
ECOR62,BCH953_P4,1
NILS68,BCH953_P4,1
NILS21,BCH953_P4,0
NILS66,BCH953_P4,0
ECOR59,BCH953_P4,0
ECOR60,BCH953_P4,0
NILS75,BCH953_P4,0
NILS70,BCH953_P4,0
ECOR53,BCH953_P4,0
NILS54,BCH953_P4,1
T145,BCH953_P4,0
NILS62,BCH953_P4,0
MT1B1,BCH953_P4,0
NILS61,BCH953_P4,0
LF82,BCH953_P4,0
NILS26,BCH953_P4,0
NILS80,BCH953_P4,1
ED1A,BCH953_P4,0
NILS20,BCH953_P4,0
381A,BCH953_P4,0
ECOR65,BCH953_P4,1
NILS77,BCH953_P4,0
ECOR64,BCH953_P4,1
NILS28,BCH953_P4,1
NILS58,BCH953_P4,0
ECOR63,BCH953_P4,1
NILS64,BCH953_P4,0
NILS25,BCH953_P4,0
NILS55,BCH953_P4,0
NILS27,BCH953_P4,0
NILS73,BCH953_P4,0
NILS19,BCH953_P4,0
LM33,BCH953_P4,0
NILS44,BCH953_P4,0
NILS53,BCH953_P4,0
NILS76,BCH953_P4,0
NILS63,BCH953_P4,0
NILS69,BCH953_P4,0
ECOR66,BCH953_P4,0
DEC2A,BCH953_P4,0
DEC1A,BCH953_P4,0
NILS60,BCH953_P4,0
